A,B,C,D,E
0.766432016576321,-0.08645469053537792,-1.2016822207505546,1.108705678865009,-0.5581549371810924
-0.6922730047562632,0.5809018247767805,-0.855544453211316,0.9353387018511269,-0.1764558051491212
0.11448795228774927,0.09819634495489174,0.4449754509557486,-0.3642929472799075,-0.8411387142827046
1.743968871481034,-0.88287900891127,0.07499231647477188,0.014526691251729394,0.4925661186470214
-0.2688427852903278,0.5168777527951595,-0.05719031203026908,-0.7217208955540134,-0.9514348250112906
1.087771863747246,-0.20730519362178726,-1.5838652168459864,0.2668051324372249,1.6733486778516071
1.2269187331135991,-0.5781102620757667,-1.0936380365804335,-0.0413359055866456,0.2966096767935482
0.29936139883112345,-1.0434464345167758,2.088531785531368,-0.3226123241721045,0.7205430578350177
0.21006468414511614,-0.5039006805661599,-0.7975361347751255,-1.4632408143788924,-0.5896152896131323
1.0511090200183961,-0.722610718462859,-0.49319410442098943,-0.6361281009834928,-0.7696971121294499
